Water/Coffee Ratio,T,Acidity,Bitterness
10,84,0.621696112,0.466931561
10,84,0.634142758,0.456673847
10,84,0.643587491,0.489394651
10,85,0.611422699,0.464872571
10,85,0.588123661,0.442772384
10,85,0.213535367,0.232775375
10,86,0.585249196,0.417621535
10,86,0.734882026,0.448245778
10,86,0.614833257,0.516181687
10,87,0.568552111,0.429670912
10,87,0.580631109,0.392293591
10,87,0.601626815,0.382777197
10,88,0.523639312,0.271687289
10,88,0.531966583,0.331557222
10,88,0.566437531,0.332644006
10,89,0.561135923,0.288782821
10,89,0.537365831,0.275183235
10,89,0.504540723,0.235679241
10,90,0.545558175,0.244599605
10,90,0.490455937,0.287411271
10,90,0.489000633,0.24877316
10,91,0.485115829,0.270236232
10,91,0.455745767,0.243652223
10,91,0.462344129,0.250830307
10,92,0.38379605,0.21408865
10,92,0.413315158,0.20846401
10,92,0.435779279,0.252928266
10,93,0.376097175,0.197148636
10,93,0.334428412,0.18312724
10,93,0.537697058,0.400445664
10,93,0.556117577,0.438469897
10,93,0.528539833,0.220051342
10,94,0.385165138,0.329847575
10,94,0.337279604,0.176727566
10,94,0.369704818,0.196869958
10,94,0.597647424,0.502697114
10,94,0.60421212,0.536568423
12,84,0.58806861,0.445324246
12,84,0.656372637,0.417439776
12,84,0.557483845,0.422530489
12,84,0.113338133,0.034640852
12,84,0.114750432,0.029288966
12,85,0.102773667,0.026158096
12,85,0.655879258,0.432779985
12,85,0.110069368,0.027665374
12,85,0.67447955,0.459773393
12,85,0.650172915,0.436591923
12,85,0.122342116,0.035703768
12,86,0.107152965,0.024911178
12,86,0.308189304,0.228886613
12,86,0.109653155,0.111920657
12,86,0.105055521,0.028413982
12,86,0.266813394,0.343431128
12,86,0.608865781,0.43273159
12,87,0.148172962,0.042185498
12,87,0.125027721,0.032103197
12,87,0.11254892,0.029394911
12,87,0.263210168,0.134218257
12,87,0.344712556,0.211280317
12,87,0.295240272,0.164812795
12,88,0.30841844,0.134150027
12,88,0.109734799,0.022351188
12,88,0.28104847,0.151764783
12,88,0.278809402,0.136023285
12,88,0.120659244,0.030201843
12,88,0.093808942,0.0208511
12,89,0.281869433,0.131442268
12,89,0.276360355,0.116645811
12,89,0.26632843,0.223647039
12,89,0.102185725,0.122302584
12,89,0.109363332,0.024479542
12,89,0.107314593,0.023670992
12,90,0.092054032,0.020084338
12,90,0.081590331,0.015521684
12,90,0.087873011,0.017046758
12,90,0.242154243,0.107319049
12,90,0.224596142,0.100431567
12,90,0.209848836,0.094412252
12,91,0.186717261,0.083398496
12,91,0.090003196,0.018966184
12,91,0.224368937,0.101901099
12,91,0.080079472,0.015237091
12,92,0.235021685,0.106286097
12,92,0.083579158,0.016142847
12,92,0.113757674,0.027032376
12,92,0.183503727,0.072308076
12,92,0.195515215,0.082801683
12,92,0.075670935,0.01232396
12,93,0.078283348,0.012449439
12,93,0.178682627,0.269067157
12,93,0.08011263,0.014233073
12,93,0.186859716,0.071649572
12,93,0.078164073,0.244029197
12,93,0.176387095,0.069814362
12,94,0.559473196,0.416506948
12,94,0.145173138,0.021176849
12,94,0.206427589,0.089254328
12,94,0.180241556,0.069627831
12,94,0.156678709,0.054295057
12,94,0.080812588,0.012503873
14,84,0.238701238,0.066869068
14,84,0.248737903,0.069074466
14,84,0.412496922,0.2396265
14,84,0.26384371,0.152314879
14,84,0.446003882,0.292767677
14,84,0.435764553,0.234292746
14,85,0.358009574,0.198448468
14,85,0.385218727,0.212881545
14,85,0.219003237,0.063602148
14,85,0.407297484,0.224108411
14,85,0.231549342,0.062506466
14,85,0.206855174,0.061485011
14,86,0.345586856,0.189630726
14,86,0.217828954,0.06359397
14,86,0.208815669,0.062362409
14,86,0.336478739,0.176933339
14,86,0.343911995,0.175893885
14,86,0.211486778,0.063026913
14,87,0.774871927,0.358771393
14,87,0.774292533,0.545840036
14,87,0.17833662,0.055343409
14,87,0.17117206,0.088957253
14,87,0.793117059,0.324277717
14,87,0.164883933,0.047923723
14,88,0.172917886,0.050758703
14,88,0.794014051,0.496978245
14,88,0.207898003,0.062952394
14,88,0.175200735,0.049858332
14,88,0.82321305,0.492093357
14,88,0.76829492,0.485501311
14,89,0.152389776,0.047103047
14,89,0.754239613,0.464891009
14,89,0.776638323,0.467953895
14,89,0.697508286,0.48128553
14,89,0.17386548,0.052595968
14,89,0.181053345,0.05541125
14,90,0.785352572,0.443360967
14,90,0.156413547,0.218824495
14,90,0.161711961,0.23346773
14,90,0.769780496,0.483934058
14,90,0.186824797,0.053783989
14,90,0.724314685,0.282054586
14,91,0.172000446,0.049083077
14,91,0.744917204,0.397859082
14,91,0.138078802,0.03919136
14,91,0.68219784,0.412477591
14,91,0.107337313,0.042459864
14,91,0.768086172,0.421543514
14,92,0.156708778,0.038969029
14,92,0.719757043,0.406286002
14,92,0.143160077,0.035580991
14,92,0.14338576,0.040665092
14,92,0.777286785,0.411061123
14,92,0.735474887,0.419920341
14,93,0.143821835,0.03532771
14,93,0.135459447,0.035661952
14,93,0.208331828,0.070904775
14,93,0.776621145,0.441420635
14,93,0.735069278,0.547510136
14,93,0.744216423,0.421965942
14,94,0.132890385,0.032668085
14,94,0.131414134,0.031104695
14,94,0.748394534,0.364426282
14,94,0.135058828,0.153624719
14,94,0.725390985,0.421893531
14,94,0.732649233,0.438039112
15,84,0.238892543,0.246412653
15,84,0.243681876,0.121414324
15,84,0.273974897,0.121917914
15,84,0.21899572,0.155772094
15,84,0.262336544,0.171141174
15,84,0.248437366,0.117705867
15,85,0.253406414,0.114940596
15,85,0.246399093,0.165984767
15,85,0.256875628,0.160711426
15,85,0.265550011,0.162307393
15,85,0.255908887,0.117219509
15,85,0.293104491,0.119832049
15,86,0.217883851,0.109456897
15,86,0.192935444,0.139513186
15,86,0.210032016,0.114189236
15,86,0.187975126,0.125176497
15,86,0.214814521,0.104731725
15,86,0.187878697,0.123048311
15,87,0.232059488,0.234301357
15,87,0.157477518,0.087909356
15,87,0.247192143,0.178164664
15,87,0.205328662,0.10237792
15,87,0.151166357,0.088721457
15,87,0.190807333,0.120750475
15,88,0.219511071,0.247044865
15,88,0.212725672,0.129936402
15,88,0.180794299,0.094345904
15,88,0.23334937,0.109558105
15,88,0.169648452,0.10313241
15,88,0.121294249,0.062987044
15,89,0.239660048,0.111560913
15,89,0.194861965,0.116503718
15,89,0.20000195,0.128887974
15,89,0.25654319,0.104201754
15,89,0.235762848,0.121374001
15,89,0.209732775,0.107055129
15,90,0.204754428,0.099729471
15,90,0.177714774,0.099027768
15,90,0.181540809,0.105646897
15,90,0.126472692,0.036766435
15,91,0.449922553,0.337245257
15,91,0.400314267,0.270286106
15,91,0.37767604,0.088787802
15,91,0.37767604,0.327701572
15,91,0.148025544,0.081212046
15,91,0.199376268,0.324688343
15,91,0.205858666,0.104777041
15,91,0.146944083,0.062458901
15,91,0.185697396,0.070679093
15,91,0.400174964,0.302284261
15,91,0.400174964,0.520267728
15,91,0.653015346,0.323616812
15,91,0.653015346,0.541600278
15,91,0.432268305,0.089364596
15,91,0.432268305,0.302961588
15,91,0.17276045,0.089919192
15,91,0.255930729,0.460702163
15,92,0.195696787,0.098353515
15,92,0.361611912,0.378637374
15,92,0.189902257,0.09557104
15,92,0.35373528,0.257198119
15,92,0.211383114,0.097636396
15,92,0.194954031,0.155285548
15,93,0.292477022,0.218914566
15,93,0.344810217,0.266292388
15,93,0.2267978,0.19090565
15,93,0.386099722,0.360889669
15,93,0.197223875,0.087833655
15,93,0.223964242,0.179195608
15,94,0.326809351,0.30429607
15,94,0.324297964,0.227456127
15,94,0.221479101,0.157268183
15,94,0.328336398,0.291145046
15,94,0.217943764,0.099229633
15,94,0.271907156,0.233324485
17,84,0.304227355,0.154525129
17,84,0.206997866,0.147330991
17,84,0.229778751,0.168875077
17,84,0.223302457,0.106315499
17,84,0.225653574,0.15932877
17,84,0.224233986,0.11660056
17,85,0.269891175,0.146738669
17,85,0.302252603,0.161203736
17,85,0.250223469,0.193189082
17,85,0.23271953,0.137861881
17,85,0.206896731,0.137718453
17,85,0.255920423,0.114430185
17,86,0.235204823,0.113116968
17,86,0.235204823,0.19382088
17,86,0.27271762,0.147106385
17,86,0.172647404,0.159382455
17,86,0.149246845,0.099580672
17,86,0.235027086,0.164836403
17,86,0.220289496,0.151114675
17,86,0.187040496,0.182999602
17,86,0.155825992,0.182609802
17,87,0.227144421,0.145115578
17,87,0.138847931,0.062519803
17,87,0.234017996,0.239061821
17,87,0.207754589,0.148191066
17,87,0.42982375,0.418612089
17,87,0.20826212,0.203206383
17,88,0.219173262,0.040182331
17,88,0.155872519,0.14946798
17,88,0.152806581,0.054295275
17,88,0.200469321,0.124614771
17,88,0.405249179,0.280927991
17,88,0.4211578,0.359096828
17,89,0.256162749,0.052819427
17,89,0.557060837,0.319028129
17,89,0.407239324,0.29545625
17,89,0.55221784,0.481954779
17,90,0.647407866,0.426348917
17,90,0.596737476,0.466825004
17,90,0.524809273,0.364168396
17,91,0.609302184,0.287823765
17,91,0.618924764,0.407600263
17,91,0.639110252,0.520967907
17,92,0.62088398,0.277558502
17,92,0.626262406,0.388768147
17,92,0.627203789,0.396238947
17,93,0.654338038,0.391857268
17,93,0.625810794,0.401545122
17,93,0.667190359,0.395547996
17,94,0.621509474,0.395470099
17,94,0.465901586,0.296860433
17,94,0.419965731,0.28515511
19,84,0.262072363,0.149049298
19,84,0.353887298,0.235206585
19,84,0.29026174,0.090254911
19,84,0.349345014,0.263348062
19,85,0.438914444,0.211379555
19,85,0.219389773,0.075152781
19,85,0.363499054,0.206379772
19,85,0.290975973,0.085589222
19,85,0.353361328,0.337314609
19,85,0.411277702,0.201187885
19,86,0.215973976,0.127839395
19,86,0.205640122,0.240143676
19,86,0.244682974,0.058558273
19,86,0.272479075,0.07797135
19,86,0.317993084,0.215828763
19,86,0.240692121,0.062635875
19,87,0.417123242,0.369509305
19,87,0.239214864,0.054985388
19,87,0.348952165,0.384620499
19,87,0.266726429,0.058657553
19,87,0.390442789,0.1938401
19,87,0.2483021,0.056364124
19,88,0.2377231,0.063689913
19,88,0.393631987,0.207741594
19,88,0.219875195,0.0618427
19,88,0.219875195,0.055285984
19,88,0.219875195,0.552249626
19,88,0.219875195,0.454488575
19,88,0.218322085,0.052242592
19,88,0.334330293,0.352554886
19,88,0.3403014,0.354479625
19,89,0.322803281,0.596086616
19,89,0.255560378,0.120649376
19,89,0.314886048,0.261874215
19,89,0.405030018,0.26816152
19,89,0.230427841,0.200738679
19,89,0.233378552,0.16918758
19,90,0.219927989,0.118202884
19,90,0.419550417,0.604145425
19,90,0.291989884,0.272955822
19,90,0.284143253,0.56750547
19,90,0.287265567,0.264404702
19,91,0.205783109,0.086537774
19,91,0.286187576,0.240112492
19,91,0.196589007,0.085236067
19,91,0.334853988,0.240928266
19,91,0.30370373,0.236221262
19,91,0.2439147,0.07056075
19,92,0.220364025,0.087487111
19,92,0.196410429,0.085116896
19,92,0.301550353,0.233300148
19,92,0.250205081,0.102164078
19,92,0.272598012,0.223964635
19,92,0.300826565,0.225174188
19,93,0.261505325,0.118507605
19,93,0.352119903,0.240084355
19,93,0.251496638,0.212693421
19,93,0.30184558,0.126710307
19,93,0.286868437,0.224723796
19,93,0.221850407,0.114068703
19,94,0.233819921,0.124484446
19,94,0.238957994,0.200273915
19,94,0.312964665,0.273883977
19,94,0.238303452,0.116485538
19,94,0.293406449,0.22155276
19,94,0.225836012,0.195219655